Date,Open,High,Low,Close,Adj Close,Volume
2014-10-16,49.93,50.41,49.93,50.41,26.43,200
2014-10-17,50.68,50.77,50.68,50.77,26.62,9000
2014-10-20,50.55,50.55,50.41,50.55,26.51,2100
2014-10-21,50.84,51.03,50.84,51.03,26.76,300
2014-10-22,51.03,51.03,51.03,51.03,26.76,0
2014-10-23,50.56,50.98,50.56,50.96,26.72,4500
2014-10-24,50.61,50.73,50.61,50.73,26.60,900
2014-10-27,50.11,50.11,49.95,49.95,26.19,1100
2014-10-28,50.53,50.97,50.49,50.97,26.73,2400
2014-10-29,51.33,51.33,51.25,51.25,26.87,1400
2014-10-30,50.52,50.88,50.52,50.85,26.66,3500
2014-10-31,50.42,50.73,50.21,50.71,26.59,2800
2014-11-03,50.84,50.84,50.19,50.19,26.32,1200
2014-11-04,49.88,49.88,49.53,49.55,25.98,1600
2014-11-05,49.55,49.92,49.55,49.92,26.18,400
2014-11-06,49.80,50.00,49.60,49.99,26.21,4800
2014-11-07,50.42,50.56,50.32,50.35,26.40,4300
2014-11-10,50.70,50.70,49.91,49.93,26.18,4700
2014-11-11,49.90,50.03,49.80,50.03,26.23,2100
2014-11-12,50.20,50.20,49.73,49.81,26.12,6500
2014-11-13,49.50,49.50,48.84,48.85,25.61,4200
2014-11-14,49.38,49.45,49.38,49.45,25.93,2900
2014-11-17,49.35,49.56,49.23,49.56,25.99,2500
2014-11-18,49.47,49.47,49.31,49.36,25.88,1300
2014-11-19,49.59,49.59,49.26,49.26,25.83,500
2014-11-20,49.59,49.59,49.59,49.59,26.00,400
2014-11-21,50.21,50.21,49.90,49.90,26.17,700
2014-11-24,49.84,49.84,49.72,49.72,26.07,200
2014-11-25,49.84,49.92,49.43,49.43,25.92,1900
2014-11-26,49.25,49.25,49.25,49.25,25.82,500
2014-11-28,47.46,47.52,46.47,46.47,24.37,6300
2014-12-01,45.83,46.63,45.83,46.63,24.45,1700
2014-12-02,46.70,46.70,46.39,46.39,24.32,1300
2014-12-03,46.56,46.59,46.36,46.59,24.43,1400
2014-12-04,46.29,46.29,46.09,46.10,24.17,1200
2014-12-05,46.06,46.06,45.90,45.90,24.07,600
2014-12-08,46.30,46.30,44.70,44.91,23.55,2100
2014-12-09,44.75,44.75,44.75,44.75,23.46,200
2014-12-10,44.10,44.10,44.05,44.05,23.10,1000
2014-12-11,44.05,44.05,44.05,44.05,23.10,0
2014-12-12,43.55,43.55,43.00,43.00,22.55,900
2014-12-15,43.00,43.00,42.03,42.03,22.04,3300
2014-12-16,45.24,45.24,41.85,41.85,21.94,900
2014-12-17,41.85,41.85,41.85,41.85,21.94,0
2014-12-18,41.85,41.85,41.85,41.85,21.94,0
2014-12-19,41.85,41.85,41.85,41.85,21.94,0
2014-12-22,42.71,42.71,42.55,42.55,22.31,800
2014-12-23,42.61,43.10,42.61,43.01,22.55,1500
2014-12-24,45.79,45.79,42.15,42.30,22.30,80600
2014-12-26,42.59,42.59,42.19,42.37,22.34,5600
2014-12-29,42.42,42.42,41.76,41.88,22.08,4900
2014-12-30,42.80,42.80,41.79,41.80,22.04,2100
2014-12-31,41.31,41.47,41.29,41.30,21.77,7900
2015-01-02,41.99,41.99,41.15,41.19,21.71,12400
2015-01-05,40.91,40.91,40.21,40.23,21.21,15300
2015-01-06,40.11,40.11,39.69,39.69,20.92,1800
2015-01-07,39.70,39.70,39.70,39.70,20.93,300
2015-01-08,40.22,40.22,39.89,39.96,21.07,1600
2015-01-09,40.39,40.39,39.88,39.89,21.03,900
2015-01-12,39.48,39.48,39.05,39.05,20.59,1700
2015-01-13,39.05,39.05,39.05,39.05,20.59,300
2015-01-14,39.05,39.05,39.05,39.05,20.59,0
2015-01-15,39.78,39.78,38.98,38.98,20.55,1200
2015-01-16,39.75,39.76,39.33,39.76,20.96,2100
2015-01-20,39.37,39.37,39.01,39.02,20.57,1700
2015-01-21,39.43,39.47,39.21,39.47,20.81,2200
2015-01-22,39.56,39.56,39.10,39.12,20.62,1700
2015-01-23,39.12,39.12,39.12,39.12,20.62,0
2015-01-26,39.62,39.62,38.74,39.00,20.56,1900
2015-01-27,38.25,39.25,38.25,39.25,20.69,2600
2015-01-28,38.41,38.41,38.35,38.35,20.22,600
2015-01-29,39.26,39.26,37.96,38.24,20.16,1400
2015-01-30,38.27,38.42,38.27,38.42,20.25,900
2015-02-02,39.43,40.01,39.43,39.99,21.08,2000
2015-02-03,40.74,41.71,40.67,41.30,21.77,2800
2015-02-04,42.00,42.00,40.44,40.45,21.32,3500
2015-02-05,40.43,40.92,40.40,40.73,21.47,1500
2015-02-06,40.76,40.76,40.74,40.74,21.48,1000
2015-02-09,41.23,41.37,41.19,41.37,21.81,1400
2015-02-10,41.25,41.25,40.74,40.74,21.48,900
2015-02-11,40.49,40.49,40.29,40.29,21.24,600
2015-02-12,40.77,41.18,40.77,41.18,21.71,7755300
2015-02-13,41.41,41.85,41.41,41.61,21.94,33200
2015-02-17,41.47,41.74,41.20,41.67,21.97,16700
2015-02-18,41.52,41.55,41.15,41.17,21.70,45000
2015-02-19,40.64,41.06,40.55,40.92,21.57,46600
2015-02-20,41.16,41.16,40.88,40.93,21.58,23500
2015-02-23,41.11,41.11,40.48,40.61,21.41,22300
2015-02-24,40.79,41.01,40.61,40.61,21.41,30000
2015-02-25,40.70,41.22,40.70,41.18,21.71,21500
2015-02-26,41.12,41.16,40.62,40.71,21.46,11600
2015-02-27,40.96,41.28,40.96,41.14,21.69,33100
2015-03-02,41.48,41.48,40.54,40.70,21.46,19600
2015-03-03,40.88,40.92,40.67,40.85,21.53,18400
2015-03-04,40.57,40.61,40.33,40.53,21.37,31400
2015-03-05,40.53,40.68,40.40,40.43,21.31,17800
2015-03-06,40.68,40.68,39.74,39.82,20.99,18500
2015-03-09,39.77,39.82,39.42,39.45,20.80,10100
2015-03-10,39.04,39.08,38.70,38.78,20.44,11400
2015-03-11,39.05,39.05,38.60,38.96,20.54,20800
2015-03-12,39.17,39.21,38.72,38.77,20.44,20100
2015-03-13,39.01,39.01,37.99,37.99,20.03,18500
2015-03-16,38.09,38.09,37.51,37.97,20.02,18200
2015-03-17,37.76,37.87,37.55,37.72,19.88,14000
2015-03-18,37.72,38.94,37.42,38.78,20.44,17400
2015-03-19,38.37,38.37,38.05,38.17,20.12,12100
2015-03-20,38.45,38.80,38.45,38.80,20.45,12300
2015-03-23,38.79,39.00,38.74,38.90,20.51,10400
2015-03-24,38.83,38.96,38.70,38.70,20.40,12200
2015-03-25,38.28,39.05,38.28,38.77,20.46,26300
2015-03-26,39.22,39.40,39.02,39.18,20.67,12200
2015-03-27,39.27,39.27,38.39,38.39,20.26,16400
2015-03-30,38.85,38.85,38.40,38.78,20.46,11400
2015-03-31,38.66,38.72,38.25,38.26,20.19,32700
2015-04-01,38.54,39.10,38.44,39.01,20.58,10300
2015-04-02,38.78,38.81,38.58,38.70,20.42,12100
2015-04-06,38.35,39.51,38.35,39.48,20.83,16400
2015-04-07,39.20,39.69,39.20,39.53,20.86,24300
2015-04-08,39.29,39.43,38.75,38.96,20.56,31100
2015-04-09,38.89,39.11,38.84,39.07,20.62,19300
2015-04-10,39.16,39.37,39.16,39.29,20.73,11800
2015-04-13,39.29,39.40,39.01,39.23,20.70,16800
2015-04-14,39.71,39.71,39.44,39.51,20.85,14600
2015-04-15,39.60,40.53,39.60,40.48,21.36,25900
2015-04-16,40.31,40.90,40.26,40.75,21.50,19000
2015-04-17,40.68,40.68,40.29,40.58,21.41,12700
2015-04-20,40.49,40.62,40.26,40.50,21.37,42700
2015-04-21,40.69,40.69,40.12,40.21,21.22,16600
2015-04-22,40.30,40.30,40.12,40.24,21.23,13900
2015-04-23,39.98,40.80,39.98,40.70,21.48,14600
2015-04-24,40.74,40.80,40.55,40.78,21.52,7300
2015-04-27,40.90,40.90,40.59,40.59,21.42,8900
2015-04-28,40.60,40.87,40.57,40.70,21.48,17000
2015-04-29,40.84,41.27,40.72,41.02,21.64,18800
2015-04-30,40.93,41.36,40.88,41.36,21.82,14500
2015-05-01,41.45,41.54,41.14,41.54,21.92,9800
2015-05-04,41.42,41.56,41.29,41.55,21.92,17000
2015-05-05,41.45,41.73,41.45,41.52,21.91,18800
2015-05-06,41.87,41.91,41.44,41.48,21.89,7800
2015-05-07,41.69,41.69,40.80,40.82,21.54,13300
2015-05-08,40.94,41.27,40.86,41.26,21.77,12100
2015-05-11,41.42,41.42,41.05,41.11,21.69,7300
2015-05-12,41.30,41.80,41.30,41.52,21.91,13200
2015-05-13,41.73,41.73,41.50,41.53,21.91,13800
2015-05-14,41.59,41.82,41.59,41.72,22.01,13300
2015-05-15,41.72,41.72,41.25,41.54,21.92,9500
2015-05-18,41.39,41.46,41.32,41.46,21.88,29500
2015-05-19,41.35,41.35,40.44,40.72,21.48,10000
2015-05-20,40.66,40.72,40.49,40.52,21.38,11900
2015-05-21,40.78,41.18,40.78,41.07,21.67,11000
2015-05-22,40.88,40.88,40.60,40.67,21.46,1000
2015-05-26,40.36,40.49,39.74,39.97,21.09,25100
2015-05-27,39.76,39.92,39.48,39.56,20.87,10000
2015-05-28,39.19,39.65,39.19,39.57,20.88,35400
2015-05-29,39.54,40.05,39.54,40.03,21.12,11900
2015-06-01,39.86,40.00,39.70,39.81,21.01,16000
2015-06-02,39.95,40.45,39.95,40.40,21.32,13400
2015-06-03,40.38,40.38,39.87,40.02,21.12,12700
2015-06-04,39.66,39.69,39.38,39.56,20.87,33000
2015-06-05,39.21,39.83,39.10,39.80,21.00,25500
2015-06-08,39.75,39.79,39.46,39.76,20.98,19100
2015-06-09,39.99,40.39,39.97,40.16,21.19,32000
2015-06-10,40.79,40.79,40.45,40.60,21.42,20600
2015-06-11,40.38,40.41,40.11,40.11,21.16,11700
2015-06-12,39.99,40.04,39.72,39.80,21.00,14800
