Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,19.05,19.05,18.85,18.94,11.72,55887
1998-12-23,18.86,19.22,18.86,19.22,11.89,78784
1998-12-24,19.22,19.34,19.15,19.34,11.97,43824
1998-12-28,19.33,19.33,19.04,19.09,11.81,51948
1998-12-29,19.12,19.29,18.89,19.29,11.94,100819
1998-12-30,19.19,19.32,19.09,19.22,11.89,154614
1998-12-31,19.22,19.24,19.04,19.04,11.78,65366
1999-01-04,18.81,19.36,18.81,19.04,11.78,250632
1999-01-05,18.96,19.24,18.96,19.22,11.89,47763
1999-01-06,19.57,19.85,19.45,19.83,12.27,129871
1999-01-07,19.62,20.13,19.57,20.13,12.46,89986
1999-01-08,20.36,20.36,20.04,20.26,12.53,173694
1999-01-11,20.28,20.28,19.76,19.95,12.35,62904
1999-01-12,19.85,19.85,19.39,19.39,12.00,117437
1999-01-13,18.46,19.39,18.46,19.14,11.84,359206
1999-01-14,19.09,19.23,18.48,18.66,11.54,59950
1999-01-15,18.91,19.19,18.82,19.19,11.87,96757
1999-01-19,19.50,19.50,18.84,19.09,11.81,54903
1999-01-20,19.29,19.53,19.12,19.23,11.90,76445
1999-01-21,19.06,19.15,18.84,18.89,11.69,438482
1999-01-22,18.79,18.89,18.66,18.76,11.61,109928
1999-01-25,18.86,18.94,18.63,18.91,11.70,169632
1999-01-26,18.99,19.03,18.79,18.93,11.71,118053
1999-01-27,19.04,19.04,18.68,18.68,11.56,56872
1999-01-28,18.63,18.99,18.63,18.96,11.73,47270
1999-01-29,19.08,19.39,18.81,19.37,11.98,72998
1999-02-01,19.45,19.45,19.04,19.04,11.78,59827
1999-02-02,18.89,18.99,18.65,18.84,11.65,107220
1999-02-03,18.73,19.12,18.60,18.98,11.74,69675
1999-02-04,18.84,18.94,18.53,18.53,11.47,48625
1999-02-05,18.49,18.58,18.25,18.38,11.37,103035
1999-02-08,18.51,18.53,18.20,18.33,11.34,137749
1999-02-09,18.33,18.38,17.95,18.07,11.18,264050
1999-02-10,18.13,18.23,17.92,18.23,11.28,31883
1999-02-11,18.30,18.99,18.30,18.96,11.73,81000
1999-02-12,18.86,18.96,18.48,18.68,11.56,106974
1999-02-16,18.87,19.09,18.84,18.96,11.73,463102
1999-02-17,19.04,19.42,18.86,19.04,11.78,501140
1999-02-18,19.14,19.34,18.99,19.23,11.90,69428
1999-02-19,19.37,19.65,19.26,19.29,11.94,76322
1999-02-22,19.45,19.99,19.45,19.85,12.28,89617
1999-02-23,19.99,20.18,19.83,20.11,12.44,121623
1999-02-24,20.18,20.21,19.37,19.45,12.03,251986
1999-02-25,19.17,19.42,18.91,19.32,11.95,173448
1999-02-26,19.32,19.72,19.23,19.67,12.17,116822
1999-03-01,19.60,19.89,19.52,19.75,12.22,211486
1999-03-02,19.90,20.08,19.67,19.80,12.25,91463
