Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,32.41,32.50,31.78,32.05,24.35,300500
1998-12-23,32.75,32.81,32.16,32.81,24.93,338300
1998-12-24,32.81,32.81,32.56,32.69,24.83,243700
1998-12-28,33.19,33.19,32.59,32.78,24.90,309300
1998-12-29,32.94,33.02,32.50,32.88,24.97,123800
1998-12-30,32.69,33.14,32.58,32.75,24.88,95600
1998-12-31,32.75,32.91,32.34,32.62,24.78,77200
1999-01-04,32.66,33.56,32.59,33.00,25.07,650600
1999-01-05,33.06,34.03,33.06,33.84,25.71,295200
1999-01-06,34.69,34.94,34.41,34.84,26.47,624700
1999-01-07,34.50,35.03,34.28,34.73,26.39,534600
1999-01-08,35.50,35.56,34.48,34.88,26.49,532800
1999-01-11,35.88,35.88,34.84,35.22,26.76,497900
1999-01-12,35.50,35.56,34.27,34.27,26.03,486000
1999-01-13,32.00,35.16,32.00,34.25,26.02,548300
1999-01-14,34.34,34.62,33.56,33.78,25.66,366300
1999-01-15,34.00,34.80,33.84,34.78,26.42,653900
1999-01-19,35.62,36.00,35.02,35.98,27.34,437300
1999-01-20,36.88,37.48,36.25,36.31,27.59,1132200
1999-01-21,36.25,36.31,35.12,35.38,26.87,1492900
1999-01-22,34.75,35.41,34.39,34.75,26.40,1291000
1999-01-25,35.19,35.38,34.59,35.36,26.86,946600
1999-01-26,35.75,36.81,35.75,36.78,27.94,713900
1999-01-27,37.25,37.48,36.00,36.00,27.35,1366900
1999-01-28,36.75,37.28,36.61,37.27,28.31,903600
1999-01-29,37.38,37.84,36.94,37.81,28.73,933600
1999-02-01,38.16,38.38,37.56,37.84,28.75,913000
1999-02-02,38.00,38.00,36.62,37.20,28.26,1259200
1999-02-03,37.06,38.06,36.81,37.47,28.46,1334100
1999-02-04,37.75,37.75,35.88,36.19,27.49,1945900
1999-02-05,36.00,36.22,34.75,35.31,26.83,1832400
1999-02-08,35.75,36.50,35.12,35.91,27.28,1314600
1999-02-09,36.00,36.03,34.31,34.50,26.21,2085500
1999-02-10,34.66,35.41,34.25,34.75,26.40,1401800
1999-02-11,35.38,36.28,35.03,36.22,27.52,2666700
1999-02-12,35.38,35.78,34.59,34.78,26.42,2917400
1999-02-16,35.75,35.81,34.50,34.62,26.30,1726400
1999-02-17,33.75,34.97,33.56,33.84,25.71,2783500
1999-02-18,34.31,34.41,33.34,34.03,25.85,2075600
1999-02-19,34.62,34.88,34.16,34.34,26.09,1673600
1999-02-22,34.59,35.66,34.34,35.56,27.02,2368000
1999-02-23,36.00,36.47,35.56,36.03,27.37,2065500
1999-02-24,36.38,36.44,35.03,35.03,26.61,2500500
1999-02-25,34.38,35.12,34.12,35.12,26.68,2566200
1999-02-26,35.06,35.12,33.75,34.06,25.88,2342600
1999-03-01,33.62,34.19,33.44,33.91,25.76,1092100
1999-03-02,34.19,34.50,33.00,33.00,25.07,2480200
1999-03-03,33.50,33.72,32.88,33.56,25.50,1607800
1999-03-04,34.38,34.47,33.12,33.91,25.76,3199100
1999-03-05,34.88,35.00,34.27,34.69,26.35,1876900
1999-03-08,35.50,35.75,35.03,35.69,27.11,1659400
1999-03-09,35.50,36.19,35.19,35.31,26.83,936000
1999-03-10,35.31,35.53,34.89,35.31,26.83,442000
1999-03-11,35.50,35.97,34.91,35.25,26.78,1216200
1999-03-12,35.56,35.56,34.56,34.94,26.54,836000
1999-03-15,35.19,35.50,34.64,35.50,26.97,432100
1999-03-16,35.53,36.25,35.41,36.11,27.43,758800
1999-03-17,36.09,36.12,35.56,35.88,27.25,425400
1999-03-18,35.75,36.41,35.62,36.38,27.63,321400
1999-03-19,36.69,36.88,35.50,35.50,26.97,636500
1999-03-22,35.50,35.84,35.19,35.50,26.97,773500
1999-03-23,35.25,35.25,34.22,34.47,26.19,1498600
1999-03-24,34.69,35.30,34.09,35.14,26.70,616700
1999-03-25,35.84,36.09,35.56,35.97,27.33,595100
1999-03-26,35.81,36.38,35.59,35.78,27.18,483500
1999-03-29,36.25,37.19,36.16,37.12,28.20,949700
1999-03-30,36.94,37.50,36.75,37.06,28.16,842500
1999-03-31,37.50,37.81,36.53,36.59,27.80,774700
1999-04-01,37.50,37.53,36.50,37.17,28.24,318500
1999-04-05,37.62,38.50,37.59,38.45,29.21,1003500
1999-04-06,38.69,39.12,38.31,38.78,29.46,540100
1999-04-07,39.50,39.56,37.94,38.69,29.39,931700
1999-04-08,38.69,39.19,37.88,39.06,29.68,606900
1999-04-09,38.98,39.36,38.69,39.00,29.63,278800
1999-04-12,37.62,38.61,37.44,38.41,29.18,1037500
1999-04-13,38.56,38.75,37.50,37.81,28.73,800600
1999-04-14,38.38,38.48,36.75,36.88,28.01,475700
1999-04-15,37.31,37.38,36.09,37.19,28.25,1699200
1999-04-16,37.19,37.25,36.00,36.19,27.49,272100
1999-04-19,36.56,36.59,34.12,34.44,26.16,1208300
1999-04-20,34.81,35.38,34.12,35.31,26.83,1029400
1999-04-21,35.31,36.38,35.06,36.25,27.54,507800
1999-04-22,37.81,37.98,37.19,37.92,28.81,1032300
1999-04-23,37.72,38.34,37.25,38.00,28.87,244500
1999-04-26,38.44,39.00,38.22,38.97,29.60,265100
1999-04-27,39.44,39.47,37.97,38.00,28.87,413000
