In_sample_total_cum,In_sample_holding_var,Out_sample_total_cum,Out_sample_holding_var
207240,453071.08350586606,229880,267236.15321025066
196450,59476.75512892906,199400,20611.738771011296
202160,324173.4111299329,213860,770735.7398732431
207500,392810.08846226236,195730,281730.50427114905
240450,202490.74596900685,180110,749187.103885368
216910,250799.92471296823,193480,163350.7853403141
200010,38678.71259175608,168440,181041.60925874903
196240,66346.69678147939,235130,250482.2265086801
204890,74283.20471798732,244020,227335.35409203643
198970,575506.6189848798,191540,508459.6307522734
206310,0.0,252990,0.0
200000,0.0,200000,0.0
201820,124035.38490495012,203240,718985.9465417468
205000,31181.379007465966,150900,166988.1510057867
206310,0.0,252990,0.0
216730,294685.9903381643,200160,387985.67098374193
207120,11763.598720120463,233240,180159.82364287679
209630,162808.20628646712,166130,111104.98759988978
179220,550850.1160675074,190010,228327.36290989254
203750,169521.29995608254,201690,10416.092587489666
205290,130905.32655750048,206970,15541.471479746491
185710,370035.7613401091,178080,180876.27445577297
204110,95708.63918690008,202650,133094.5163957013
174620,519700.1066566285,234230,812455.2218241941
197600,30742.204655248126,197970,15761.917883714521
182490,409624.1922328878,153550,147092.86304767156
201650,102609.9504360374,197590,80242.49104436484
229770,753403.6012296883,254590,292256.82006062276
192620,52481.335090030756,172760,237365.66547258207
204130,223602.48447204966,174090,718985.9465417473
209050,89403.35027291547,194610,20611.738771011293
206310,0.0,252990,0.0
209450,786435.7864357863,204290,788647.0101956462
209660,326588.87006713095,178600,307853.40314136125
180950,890551.4775079993,216630,692367.0432626067
198380,235146.4960160612,234100,832626.0677872692
165610,705125.7920823139,225170,526095.3430697161
175100,241200.82815734987,205740,389418.5726095343
200220,87301.58730158731,197110,100578.6718104161
207290,370349.45730597904,233620,810030.3113805457
200030,239977.41389045733,177660,157012.9512262331
198420,154714.85036702428,199280,509451.63957012957
213090,30742.204655248133,200350,46679.52604023149
200000,0.0,200000,0.0
209240,67413.26306543699,147010,0.0
206310,0.0,252990,0.0
199170,130591.63059163059,252990,0.0
202550,98814.22924901187,155550,395756.4067236153
237630,203682.79063931238,216450,174979.33314962802
216730,475437.6058723884,198760,5235.602094240839
