In_sample_total_cum,In_sample_holding_var,Out_sample_total_cum,Out_sample_holding_var
193690,0.0,147010,0.0
201320,655279.50310559,183690,422595.7564067235
192650,3952.569169960475,174330,133094.51639570127
204670,3952.569169960474,200000,0.0
199770,73091.16004768175,199740,20611.73877101129
205250,306543.6978480456,199070,222981.53761366764
206310,0.0,252990,0.0
203010,55994.729907773384,148100,5235.602094240838
198920,102609.95043603741,224660,423091.7608156516
199560,349833.741138089,225080,431248.27776246896
198510,169866.3655185394,173600,134141.63681454948
201210,229060.79427818558,206290,282006.0622761092
191200,399334.9645523559,128610,532102.5075778452
206650,551853.9431582909,223240,877762.4689997245
175920,209392.0572181441,170600,251253.78892256814
212640,517755.1916682351,239810,210471.20418848167
189050,212560.38647342994,249530,129457.15073022869
215560,892810.0884622622,176130,225130.89005235594
207620,288945.35416274547,161240,273353.5409203637
223470,454137.6497898237,196290,707081.8407274733
173590,250988.14229249014,194000,194268.39349683106
202050,31181.37900746596,176610,343014.6045742628
176580,587991.7184265013,149700,70928.63047671536
195760,83286.27893845284,141200,5235.602094240838
233390,149570.23652675824,252970,114356.5720584183
205520,53987.07572620613,252990,0.0
198400,146809.71202710335,244410,59189.85946541746
215030,237185.51979421548,178810,280903.830256269
206310,0.0,252990,0.0
193250,488205.03168329253,176260,143620.832185175
215910,464615.0950498776,240880,761752.5489115459
224050,568417.0901562207,192380,518875.7233397629
198550,173034.6947738252,235170,94240.83769633506
237690,468065.7506744463,218770,290493.24882887845
214630,207760.83819562077,216690,540865.2521355745
189500,766892.5277620929,171990,925819.7850647563
222430,201204.59250894032,235230,241443.92394599068
226860,791705.8786624003,139700,238412.78589143007
198310,73091.16004768181,153610,81510.05786718105
215490,834525.3780036388,193820,680903.8302562688
199740,23244.871070958023,200000,0.0
193530,214097.49670619244,153710,231964.72857536518
204850,639845.6615847921,156020,65086.80077156243
209090,15622.059100319968,195850,10416.092587489664
206310,0.0,251560,10416.09258748966
205030,241138.08896417587,191340,597134.1967484157
204370,163937.51176359868,252990,0.0
197960,11763.598720120459,147010,0.0
212850,250674.44632662027,156410,245522.18241939938
214900,592289.3531589184,152600,458418.29705152946
